"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Allan De San Miguel","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".210",".270",".335",".605",".272"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa295122"
"Cael Brockmeyer","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".269",".342",".611",".272"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa708438"
"Christian Bethancourt","Braves","383","363","87","15","1","8","30","37","12","70","3","5","3"," ",".238",".266",".348",".614",".272"," ","70","-0.1","-0.3"," ","-12.9","7.7","0.7","10028"
"Johnny Monell","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".213",".275",".332",".607",".271"," ","76","0.0","0.0"," ","0.0","0.0","0.0","2783"
"Tyler Heineman","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".280",".324",".604",".271"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa658108"
"Jose Gil","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".272",".332",".604",".271"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa294329"
"Alejandro Segovia","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".206",".269",".333",".603",".271"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa504965"
"Chris Herrmann","Twins","62","56","12","2","0","1","6","5","5","13","0","1","0"," ",".222",".284",".323",".607",".271"," ","70","0.0","0.1"," ","-2.0","1.3","0.1","9284"
"Kyle Higashioka","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".261",".348",".609",".271"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa454957"
"Tomas Telis","Marlins","31","29","7","1","0","0","3","3","1","4","0","0","0"," ",".246",".274",".338",".612",".271"," ","65","0.0","-0.1"," ","-1.2","0.5","0.0","10067"
"Rossmel Perez","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".285",".316",".601",".270"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa455612"
"Tyler Ogle","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".211",".280",".317",".598",".270"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa578021"
"Ryan Query"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".269",".337",".606",".270"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa549515"
"Mike Ohlman","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".279",".322",".601",".270"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa501614"
"John Murrian","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".264",".344",".608",".270"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa501551"
"Nevin Ashley","Brewers","31","28","6","1","0","1","3","3","2","7","0","0","0"," ",".215",".278",".324",".602",".270"," ","66","0.0","0.0"," ","-1.2","0.6","0.0","3274"
"Ramon Cabrera","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".286",".316",".602",".270"," ","71","0.0","0.0"," ","0.0","0.0","0.0","10327"
"Hector Sanchez","Giants","92","86","19","4","0","2","8","9","5","22","1","1","0"," ",".224",".270",".337",".607",".270"," ","75","0.0","-0.3"," ","-2.6","1.6","0.2","10289"
